singular,plural,merged
coulomb force,coulomb forces,coulomb force(s)
principal bundle,principal bundles,principal bundle(s)
drift diffusion process,drift diffusion processes,drift diffusion process(es)
voltage magnitude,voltage magnitudes,voltage magnitude(s)
feedback law,feedback laws,feedback law(s)
product expansion,product expansions,product expansion(s)
theoretical expectation,theoretical expectations,theoretical expectation(s)
strongly correlated electron,strongly correlated electrons,strongly correlated electron(s)
main driver,main drivers,main driver(s)
chiral magnet,chiral magnets,chiral magnet(s)
dc converter,dc converters,dc converter(s)
preprocessing technique,preprocessing techniques,preprocessing technique(s)
duality transformation,duality transformations,duality transformation(s)
multiplex network,multiplex networks,multiplex network(s)
greatly affect,greatly affects,greatly affect(s)
renewal process,renewal processes,renewal process(es)
nonparametric regression model,nonparametric regression models,nonparametric regression model(s)
elastic constant,elastic constants,elastic constant(s)
lorentz factor,lorentz factors,lorentz factor(s)
superconducting nanowire,superconducting nanowires,superconducting nanowire(s)
diagnostic test,diagnostic tests,diagnostic test(s)
convective flow,convective flows,convective flow(s)
stakes decision,stakes decisions,stakes decision(s)
relational database,relational databases,relational database(s)
inertial sensor,inertial sensors,inertial sensor(s)
pretraining objective,pretraining objectives,pretraining objective(s)
delay differential equation,delay differential equations,delay differential equation(s)
tev blazar,tev blazars,tev blazar(s)
crowdsourcing platform,crowdsourcing platforms,crowdsourcing platform(s)
mixed integer program,mixed integer programs,mixed integer program(s)
3d medical image,3d medical images,3d medical image(s)
schwinger equation,schwinger equations,schwinger equation(s)
rydberg state,rydberg states,rydberg state(s)
parton distribution function,parton distribution functions,parton distribution function(s)
partial decay width,partial decay widths,partial decay width(s)
ahler metric,ahler metrics,ahler metric(s)
blood cell,blood cells,blood cell(s)
cardiovascular disease,cardiovascular diseases,cardiovascular disease(s)
disordered solid,disordered solids,disordered solid(s)
dimension reduction technique,dimension reduction techniques,dimension reduction technique(s)
characteristic signature,characteristic signatures,characteristic signature(s)
drift diffusion coefficient,drift diffusion coefficients,drift diffusion coefficient(s)
activation map,activation maps,activation map(s)
recording device,recording devices,recording device(s)
conjugate variable,conjugate variables,conjugate variable(s)
bootstrap technique,bootstrap techniques,bootstrap technique(s)
smart phone,smart phones,smart phone(s)
backdoor attack,backdoor attacks,backdoor attack(s)
function approximator,function approximators,function approximator(s)
input image classification task,input image classification tasks,input image classification task(s)
cylindrical coordinate,cylindrical coordinates,cylindrical coordinate(s)
multispectral image,multispectral images,multispectral image(s)
gw event,gw events,gw event(s)
confounding factor,confounding factors,confounding factor(s)
line defect,line defects,line defect(s)
riesz transform,riesz transforms,riesz transform(s)
parse tree,parse trees,parse tree(s)
affine weyl group,affine weyl groups,affine weyl group(s)
fusion reaction,fusion reactions,fusion reaction(s)
modular curve,modular curves,modular curve(s)
hyperfine splitting,hyperfine splittings,hyperfine splitting(s)
predictive controller,predictive controllers,predictive controller(s)
central wavelength,central wavelengths,central wavelength(s)
electron population,electron populations,electron population(s)
complex oxide,complex oxides,complex oxide(s)
greenhouse gas,greenhouse gases,greenhouse gas(es)
brightness temperature,brightness temperatures,brightness temperature(s)
terahertz thz band,terahertz thz bands,terahertz thz band(s)
relative risk,relative risks,relative risk(s)
clustering coefficient,clustering coefficients,clustering coefficient(s)
pulse sequence,pulse sequences,pulse sequence(s)
non asymptotic regime,non asymptotic regimes,non asymptotic regime(s)
nodal line semimetal,nodal line semimetals,nodal line semimetal(s)
logical formula,logical formulae,logical formula (formulae)
galactic latitude,galactic latitudes,galactic latitude(s)
early detection rate,early detection rates,early detection rate(s)
weighting scheme,weighting schemes,weighting scheme(s)
tree ensemble,tree ensembles,tree ensemble(s)
energy density wave,energy density waves,energy density wave(s)
rough surface,rough surfaces,rough surface(s)
computational cost function,computational cost functions,computational cost function(s)
logarithmic derivative,logarithmic derivatives,logarithmic derivative(s)
frank wolfe algorithm,frank wolfe algorithms,frank wolfe algorithm(s)
limited receptive field,limited receptive fields,limited receptive field(s)
energy minimization problem,energy minimization problems,energy minimization problem(s)
action unit,action units,action unit(s)
baryon chemical potential,baryon chemical potentials,baryon chemical potential(s)
significant speedup,significant speedups,significant speedup(s)
cell line,cell lines,cell line(s)
primitive root,primitive roots,primitive root(s)
residue class,residue classes,residue class(es)
channel estimation error,channel estimation errors,channel estimation error(s)
model compression technique,model compression techniques,model compression technique(s)
insulating phase,insulating phases,insulating phase(s)
morita equivalence,morita equivalences,morita equivalence(s)
wide orbit,wide orbits,wide orbit(s)
death rate,death rates,death rate(s)
gas giant,gas giants,gas giant(s)
cardinality constraint,cardinality constraints,cardinality constraint(s)
atomic displacement,atomic displacements,atomic displacement(s)
partite graph,partite graphs,partite graph(s)
travelling wave,travelling waves,travelling wave(s)
suboptimal solution,suboptimal solutions,suboptimal solution(s)
flux tube,flux tubes,flux tube(s)
plane wave function,plane wave functions,plane wave function(s)
bloch equation,bloch equations,bloch equation(s)
element discretization,element discretizations,element discretization(s)
tangent cone,tangent cones,tangent cone(s)
propagation delay,propagation delays,propagation delay(s)
attack vector,attack vectors,attack vector(s)
self gravitating system,self gravitating systems,self gravitating system(s)
fitting code,fitting codes,fitting code(s)
ion concentration,ion concentrations,ion concentration(s)
public sector,public sectors,public sector(s)
plastic scintillator,plastic scintillators,plastic scintillator(s)
accelerator facility,accelerator facilities,accelerator facility(ies)
bond dimension,bond dimensions,bond dimension(s)
conditional moment,conditional moments,conditional moment(s)
counter part,counter parts,counter part(s)
product state space,product state spaces,product state space(s)
regular grid,regular grids,regular grid(s)
simple toy model,simple toy models,simple toy model(s)
wormhole geometry,wormhole geometries,wormhole geometry(ies)
irregular shape,irregular shapes,irregular shape(s)
source catalogue,source catalogues,source catalogue(s)
high luminosity relation,high luminosity relations,high luminosity relation(s)
gamma ray observatory,gamma ray observatories,gamma ray observatory(ies)
ring resonator,ring resonators,ring resonator(s)
fermi energy density,fermi energy densities,fermi energy density(ies)
cooling rate,cooling rates,cooling rate(s)
mass hierarchy,mass hierarchies,mass hierarchy(ies)
linking number,linking numbers,linking number(s)
incentive mechanism,incentive mechanisms,incentive mechanism(s)
nonlinear optical fiber,nonlinear optical fibers,nonlinear optical fiber(s)
graph filter,graph filters,graph filter(s)
microphone array,microphone arrays,microphone array(s)
fiber optic,fiber optics,fiber optic(s)
valence band structure,valence band structures,valence band structure(s)
exponential convergence rate,exponential convergence rates,exponential convergence rate(s)
vortex ring,vortex rings,vortex ring(s)
photon flux,photon fluxes,photon flux(es)
loud agn,loud agns,loud agn(s)
sentence embedding,sentence embeddings,sentence embedding(s)
automatically adapt,automatically adapts,automatically adapt(s)
bidirectional lstm,bidirectional lstms,bidirectional lstm(s)
pyramid network,pyramid networks,pyramid network(s)
networks ann,networks anns,networks ann(s)
resource block,resource blocks,resource block(s)
real scalar field,real scalar fields,real scalar field(s)
tactile sensor,tactile sensors,tactile sensor(s)
rotational velocity,rotational velocities,rotational velocity(ies)
two higgs doublet model,two higgs doublet models,two higgs doublet model(s)
parabolic pde,parabolic pdes,parabolic pde(s)
cms collaboration,cms collaborations,cms collaboration(s)
conventional counterpart,conventional counterparts,conventional counterpart(s)
oxygen vacancy,oxygen vacancies,oxygen vacancy(ies)
thin shell,thin shells,thin shell(s)
scale mixture,scale mixtures,scale mixture(s)
human judgment,human judgments,human judgment(s)
convex loss function,convex loss functions,convex loss function(s)
smartphone camera,smartphone cameras,smartphone camera(s)
hash table,hash tables,hash table(s)
merger remnant,merger remnants,merger remnant(s)
electron positron collider,electron positron colliders,electron positron collider(s)
radiative correction,radiative corrections,radiative correction(s)
capsule network,capsule networks,capsule network(s)
stereo camera,stereo cameras,stereo camera(s)
crowded environment,crowded environments,crowded environment(s)
alternating group,alternating groups,alternating group(s)
attosecond pulse,attosecond pulses,attosecond pulse(s)
directed polymer,directed polymers,directed polymer(s)
cell free massive mimo system,cell free massive mimo systems,cell free massive mimo system(s)
atmospheric muon,atmospheric muons,atmospheric muon(s)
primal dual variable,primal dual variables,primal dual variable(s)
leaf node,leaf nodes,leaf node(s)
extrasolar planet,extrasolar planets,extrasolar planet(s)
visual analytic,visual analytics,visual analytic(s)
invertible element,invertible elements,invertible element(s)
equivariance property,equivariance properties,equivariance property(ies)
malicious actor,malicious actors,malicious actor(s)
flux compactification,flux compactifications,flux compactification(s)
optical tweezer,optical tweezers,optical tweezer(s)
self supervision signal,self supervision signals,self supervision signal(s)
light emitting diode,light emitting diodes,light emitting diode(s)
medical imaging modality,medical imaging modalities,medical imaging modality(ies)
gaussian graphical model,gaussian graphical models,gaussian graphical model(s)
semiconductor heterostructure,semiconductor heterostructures,semiconductor heterostructure(s)
coding gain,coding gains,coding gain(s)
communication cost function,communication cost functions,communication cost function(s)
matter halo,matter halos,matter halo(s)
optimal regret bound,optimal regret bounds,optimal regret bound(s)
nonzero element,nonzero elements,nonzero element(s)
structural break,structural breaks,structural break(s)
colour magnitude diagram,colour magnitude diagrams,colour magnitude diagram(s)
approximation error rate,approximation error rates,approximation error rate(s)
tridiagonal matrix,tridiagonal matrices,tridiagonal matrix (matrices)
model selection criterion,model selection criteria,model selection criterion (criteria)
federated learning fl system,federated learning fl systems,federated learning fl system(s)
photonic crystal structure,photonic crystal structures,photonic crystal structure(s)
optical cavity mode,optical cavity modes,optical cavity mode(s)
aerial vehicle,aerial vehicles,aerial vehicle(s)
naturally handle,naturally handles,naturally handle(s)
virial mass,virial masses,virial mass(es)
outer part,outer parts,outer part(s)
atom interferometer,atom interferometers,atom interferometer(s)
circular cylinder,circular cylinders,circular cylinder(s)
standard brownian motion,standard brownian motions,standard brownian motion(s)
gravitational wave background,gravitational wave backgrounds,gravitational wave background(s)
bi encoder,bi encoders,bi encoder(s)
prediction horizon,prediction horizons,prediction horizon(s)
non linear regression,non linear regressions,non linear regression(s)
iron oxide,iron oxides,iron oxide(s)
gluon propagator,gluon propagators,gluon propagator(s)
proposed preconditioner,proposed preconditioners,proposed preconditioner(s)
release date,release dates,release date(s)
first order oracle,first order oracles,first order oracle(s)
halide perovskite,halide perovskites,halide perovskite(s)
teichm uller space,teichm uller spaces,teichm uller space(s)
single rgb image,single rgb images,single rgb image(s)
model selection bias,model selection biases,model selection bias(es)
casimir force,casimir forces,casimir force(s)
failure rate,failure rates,failure rate(s)
gps signal,gps signals,gps signal(s)
protection mechanism,protection mechanisms,protection mechanism(s)
sparse tensor,sparse tensors,sparse tensor(s)
entangled photon,entangled photons,entangled photon(s)
seamlessly integrate,seamlessly integrates,seamlessly integrate(s)
visibility graph,visibility graphs,visibility graph(s)
multi user behavior,multi user behaviors,multi user behavior(s)
microwave cavity,microwave cavities,microwave cavity(ies)
periodic variation,periodic variations,periodic variation(s)
diffraction grating,diffraction gratings,diffraction grating(s)
absolute position,absolute positions,absolute position(s)
strongly enhance,strongly enhances,strongly enhance(s)
string tension,string tensions,string tension(s)
zero crossing,zero crossings,zero crossing(s)
exterior domain,exterior domains,exterior domain(s)
recurrent unit,recurrent units,recurrent unit(s)
exactly recover,exactly recovers,exactly recover(s)
sub neptune,sub neptunes,sub neptune(s)
scalar hair,scalar hairs,scalar hair(s)
observation window,observation windows,observation window(s)
post processing step,post processing steps,post processing step(s)
dust temperature,dust temperatures,dust temperature(s)
word error rate,word error rates,word error rate(s)
zeeman splitting,zeeman splittings,zeeman splitting(s)
parameter estimation error,parameter estimation errors,parameter estimation error(s)
pulsed laser,pulsed lasers,pulsed laser(s)
extended radio emission,extended radio emissions,extended radio emission(s)
cartesian grid,cartesian grids,cartesian grid(s)
cross correlation function,cross correlation functions,cross correlation function(s)
cone angle,cone angles,cone angle(s)
augmented version,augmented versions,augmented version(s)
unconstrained optimization problem,unconstrained optimization problems,unconstrained optimization problem(s)
mec system,mec systems,mec system(s)
regularity criterion,regularity criteria,regularity criterion (criteria)
non cooperative game,non cooperative games,non cooperative game(s)
azimuthal anisotropy,azimuthal anisotropies,azimuthal anisotropy(ies)
inflection point,inflection points,inflection point(s)
regulatory network,regulatory networks,regulatory network(s)
university campus,university campuses,university campus(es)
cluster centre,cluster centres,cluster centre(s)
solid substrate,solid substrates,solid substrate(s)
intensity ratio,intensity ratios,intensity ratio(s)
fe ratio,fe ratios,fe ratio(s)
high probability density,high probability densities,high probability density(ies)
superconducting phase diagram,superconducting phase diagrams,superconducting phase diagram(s)
writing style,writing styles,writing style(s)
magnetic flux tube,magnetic flux tubes,magnetic flux tube(s)
accurately recover,accurately recovers,accurately recover(s)
underlying asset,underlying assets,underlying asset(s)
carrier frequency,carrier frequencies,carrier frequency(ies)
matter power spectrum,matter power spectra,matter power spectrum (spectra)
nitrogen vacancy center,nitrogen vacancy centers,nitrogen vacancy center(s)
mixed norm,mixed norms,mixed norm(s)
greatly facilitate,greatly facilitates,greatly facilitate(s)
bregman divergence,bregman divergences,bregman divergence(s)
line intensity,line intensities,line intensity(ies)
meta heuristic,meta heuristics,meta heuristic(s)
tensor core,tensor cores,tensor core(s)
denoising autoencoder,denoising autoencoders,denoising autoencoder(s)
free subspace,free subspaces,free subspace(s)
electrical activity,electrical activities,electrical activity(ies)
outflow rate,outflow rates,outflow rate(s)
quantum memory,quantum memories,quantum memory(ies)
occupation measure,occupation measures,occupation measure(s)
training data augmentation technique,training data augmentation techniques,training data augmentation technique(s)
finite mixture model,finite mixture models,finite mixture model(s)
traveling salesman problem,traveling salesman problems,traveling salesman problem(s)
orientation relationship,orientation relationships,orientation relationship(s)
super yang mills theory,super yang mills theories,super yang mills theory(ies)
oscillation amplitude,oscillation amplitudes,oscillation amplitude(s)
band hubbard model,band hubbard models,band hubbard model(s)
intensity profile,intensity profiles,intensity profile(s)
non stationary state,non stationary states,non stationary state(s)
morse function,morse functions,morse function(s)
implicitly encode,implicitly encodes,implicitly encode(s)
session type,session types,session type(s)
mellin transform,mellin transforms,mellin transform(s)
complex scalar field,complex scalar fields,complex scalar field(s)
bulk counterpart,bulk counterparts,bulk counterpart(s)
helical magnetic field,helical magnetic fields,helical magnetic field(s)
simple analytical solution,simple analytical solutions,simple analytical solution(s)
symmetry breaking pattern,symmetry breaking patterns,symmetry breaking pattern(s)
viscoelastic fluid,viscoelastic fluids,viscoelastic fluid(s)
symmetric monoidal category,symmetric monoidal categories,symmetric monoidal category(ies)
sobolev norm,sobolev norms,sobolev norm(s)
syk model,syk models,syk model(s)
sql query,sql queries,sql query(ies)
observing run,observing runs,observing run(s)
carleman estimate,carleman estimates,carleman estimate(s)
reynolds stress,reynolds stresses,reynolds stress(es)
clear difference,clear differences,clear difference(s)
spinless fermion,spinless fermions,spinless fermion(s)
camera viewpoint,camera viewpoints,camera viewpoint(s)
pooling layer,pooling layers,pooling layer(s)
execution trace,execution traces,execution trace(s)
parabolic subgroup,parabolic subgroups,parabolic subgroup(s)
elevated temperature,elevated temperatures,elevated temperature(s)
inas nanowire,inas nanowires,inas nanowire(s)
strong gravitational wave,strong gravitational waves,strong gravitational wave(s)
soft photon,soft photons,soft photon(s)
asynchronous event,asynchronous events,asynchronous event(s)
measurement unit,measurement units,measurement unit(s)
following statement,following statements,following statement(s)
tidal interaction,tidal interactions,tidal interaction(s)
fractional sobolev space,fractional sobolev spaces,fractional sobolev space(s)
globally optimal solution,globally optimal solutions,globally optimal solution(s)
lagrangian submanifold,lagrangian submanifolds,lagrangian submanifold(s)
uniform mesh,uniform meshes,uniform mesh(es)
individual modality,individual modalities,individual modality(ies)
interatomic interaction,interatomic interactions,interatomic interaction(s)
web api,web apis,web api(s)
mean motion resonance,mean motion resonances,mean motion resonance(s)
extremal black hole,extremal black holes,extremal black hole(s)
colloidal suspension,colloidal suspensions,colloidal suspension(s)
molecular junction,molecular junctions,molecular junction(s)
microscopic image,microscopic images,microscopic image(s)
scalar conservation law,scalar conservation laws,scalar conservation law(s)
topologically protected topological insulator,topologically protected topological insulators,topologically protected topological insulator(s)
illumination variation,illumination variations,illumination variation(s)
programming course,programming courses,programming course(s)
hermite polynomial,hermite polynomials,hermite polynomial(s)
malicious activity,malicious activities,malicious activity(ies)
diffusion map,diffusion maps,diffusion map(s)
individual neuron,individual neurons,individual neuron(s)
separable banach space,separable banach spaces,separable banach space(s)
qualitative difference,qualitative differences,qualitative difference(s)
orlicz space,orlicz spaces,orlicz space(s)
orthogonality constraint,orthogonality constraints,orthogonality constraint(s)
commutative monoid,commutative monoids,commutative monoid(s)
ecg signal,ecg signals,ecg signal(s)
upper triangular matrix,upper triangular matrices,upper triangular matrix (matrices)
functional predictor,functional predictors,functional predictor(s)
feynman graph,feynman graphs,feynman graph(s)
three main theorem,three main theorems,three main theorem(s)
multi band structure,multi band structures,multi band structure(s)
local cohomology ring,local cohomology rings,local cohomology ring(s)
loading factor,loading factors,loading factor(s)
self attention block,self attention blocks,self attention block(s)
photonic circuit,photonic circuits,photonic circuit(s)
hadronic final state,hadronic final states,hadronic final state(s)
accurate prediction error,accurate prediction errors,accurate prediction error(s)
heterotic string,heterotic strings,heterotic string(s)
harnack inequality,harnack inequalities,harnack inequality(ies)
kolmogorov operator,kolmogorov operators,kolmogorov operator(s)
higher spin wave,higher spin waves,higher spin wave(s)
field trial,field trials,field trial(s)
similar statement,similar statements,similar statement(s)
free carrier,free carriers,free carrier(s)
minimax rate,minimax rates,minimax rate(s)
contour integral,contour integrals,contour integral(s)
software product,software products,software product(s)
profinite group,profinite groups,profinite group(s)
basic reproduction number,basic reproduction numbers,basic reproduction number(s)
allocation scheme,allocation schemes,allocation scheme(s)
proof assistant,proof assistants,proof assistant(s)
agn population,agn populations,agn population(s)
jump discontinuity,jump discontinuities,jump discontinuity(ies)
unpredictable behavior,unpredictable behaviors,unpredictable behavior(s)
sphere packing,sphere packings,sphere packing(s)
power law scaling,power law scalings,power law scaling(s)
goldstone boson,goldstone bosons,goldstone boson(s)
sublevel set,sublevel sets,sublevel set(s)
power amplifier,power amplifiers,power amplifier(s)
submodular function,submodular functions,submodular function(s)
kink solution,kink solutions,kink solution(s)
distant observer,distant observers,distant observer(s)
steep spectrum,steep spectra,steep spectrum (spectra)
magma ocean,magma oceans,magma ocean(s)
surgical procedure,surgical procedures,surgical procedure(s)
progenitor mass,progenitor masses,progenitor mass(es)
water content,water contents,water content(s)
fast radio frequency,fast radio frequencies,fast radio frequency(ies)
shear rate,shear rates,shear rate(s)
star product,star products,star product(s)
necessary ingredient,necessary ingredients,necessary ingredient(s)
user equipment,user equipments,user equipment(s)
approximate nearest neighbor,approximate nearest neighbors,approximate nearest neighbor(s)
helium atom,helium atoms,helium atom(s)
strain tensor,strain tensors,strain tensor(s)
outer edge,outer edges,outer edge(s)
fl system,fl systems,fl system(s)
catastrophic failure,catastrophic failures,catastrophic failure(s)
homogeneous dirichlet boundary condition,homogeneous dirichlet boundary conditions,homogeneous dirichlet boundary condition(s)
metallicity relation,metallicity relations,metallicity relation(s)
semi metal,semi metals,semi metal(s)
mechanical instability,mechanical instabilities,mechanical instability(ies)
paramagnetic phase transition,paramagnetic phase transitions,paramagnetic phase transition(s)
computation budget,computation budgets,computation budget(s)
metallicity distribution,metallicity distributions,metallicity distribution(s)
alpha attractor,alpha attractors,alpha attractor(s)
time projection chamber,time projection chambers,time projection chamber(s)
recovery rate,recovery rates,recovery rate(s)
final product,final products,final product(s)
main conclusion,main conclusions,main conclusion(s)
tangent plane,tangent planes,tangent plane(s)
label noise level,label noise levels,label noise level(s)
discount factor,discount factors,discount factor(s)
phase mask,phase masks,phase mask(s)
optical trap,optical traps,optical trap(s)
bright ring,bright rings,bright ring(s)
evolutionary stage,evolutionary stages,evolutionary stage(s)
dissimilarity measure,dissimilarity measures,dissimilarity measure(s)
minimum cut,minimum cuts,minimum cut(s)
light modulator,light modulators,light modulator(s)
toeplitz operator,toeplitz operators,toeplitz operator(s)
separable hilbert space,separable hilbert spaces,separable hilbert space(s)
containing million,containing millions,containing million(s)
remote server,remote servers,remote server(s)
arithmetic quotient,arithmetic quotients,arithmetic quotient(s)
thin accretion disk,thin accretion disks,thin accretion disk(s)
spatio temporal resolution,spatio temporal resolutions,spatio temporal resolution(s)
early warning,early warnings,early warning(s)
description logic,description logics,description logic(s)
gram matrix,gram matrices,gram matrix (matrices)
continuous time step,continuous time steps,continuous time step(s)
affine grassmannian,affine grassmannians,affine grassmannian(s)
base learner,base learners,base learner(s)
electricity market,electricity markets,electricity market(s)
banach algebra,banach algebras,banach algebra(s)
iteratively refine,iteratively refines,iteratively refine(s)
fl setting,fl settings,fl setting(s)
strange metal,strange metals,strange metal(s)
higher redshift,higher redshifts,higher redshift(s)
broad peak,broad peaks,broad peak(s)
pointer network,pointer networks,pointer network(s)
consistency check,consistency checks,consistency check(s)
inference engine,inference engines,inference engine(s)
semidirect product,semidirect products,semidirect product(s)
eddington ratio,eddington ratios,eddington ratio(s)
structured population,structured populations,structured population(s)
compressible fluid,compressible fluids,compressible fluid(s)
cr manifold,cr manifolds,cr manifold(s)
jump diffusion,jump diffusions,jump diffusion(s)
inherent trade off,inherent trade offs,inherent trade off(s)
alice collaboration,alice collaborations,alice collaboration(s)
consensus mechanism,consensus mechanisms,consensus mechanism(s)
significant portion,significant portions,significant portion(s)
polar angle,polar angles,polar angle(s)
droplet size,droplet sizes,droplet size(s)
fermi velocity,fermi velocities,fermi velocity(ies)
interatomic potential,interatomic potentials,interatomic potential(s)
gravitating system,gravitating systems,gravitating system(s)
lorentzian manifold,lorentzian manifolds,lorentzian manifold(s)
lookup table,lookup tables,lookup table(s)
information processing pipeline,information processing pipelines,information processing pipeline(s)
free energy landscape,free energy landscapes,free energy landscape(s)
card game,card games,card game(s)
key feature representation,key feature representations,key feature representation(s)
driving protocol,driving protocols,driving protocol(s)
lagrange equation,lagrange equations,lagrange equation(s)
extra degree,extra degrees,extra degree(s)
modern deep neural network,modern deep neural networks,modern deep neural network(s)
probe beam,probe beams,probe beam(s)
cost saving,cost savings,cost saving(s)
partially answer,partially answers,partially answer(s)
incident photon,incident photons,incident photon(s)
privacy guarantee,privacy guarantees,privacy guarantee(s)
quartic interaction,quartic interactions,quartic interaction(s)
integer program,integer programs,integer program(s)
pulsar timing array,pulsar timing arrays,pulsar timing array(s)
intrinsic reward,intrinsic rewards,intrinsic reward(s)
gravitational anomaly,gravitational anomalies,gravitational anomaly(ies)
dirac cone,dirac cones,dirac cone(s)
geodesic path,geodesic paths,geodesic path(s)
inverse semigroup,inverse semigroups,inverse semigroup(s)
hopping parameter,hopping parameters,hopping parameter(s)
allocation rule,allocation rules,allocation rule(s)
assistive technology,assistive technologies,assistive technology(ies)
dark matter halo mass,dark matter halo masses,dark matter halo mass(es)
plurisubharmonic function,plurisubharmonic functions,plurisubharmonic function(s)
quadruped robot,quadruped robots,quadruped robot(s)
agile team,agile teams,agile team(s)
simple analytical expression,simple analytical expressions,simple analytical expression(s)
vertex correction,vertex corrections,vertex correction(s)
diagonal component,diagonal components,diagonal component(s)
lie superalgebra,lie superalgebras,lie superalgebra(s)
superconformal field theory,superconformal field theories,superconformal field theory(ies)
quantum logic gate,quantum logic gates,quantum logic gate(s)
dominating function,dominating functions,dominating function(s)
goldstone mode,goldstone modes,goldstone mode(s)
online marketplace,online marketplaces,online marketplace(s)
radial oscillation,radial oscillations,radial oscillation(s)
accumulation point,accumulation points,accumulation point(s)
reed muller code,reed muller codes,reed muller code(s)
hairy black hole,hairy black holes,hairy black hole(s)
presidential election,presidential elections,presidential election(s)
mitigation measure,mitigation measures,mitigation measure(s)
magnetohydrodynamic mhd simulation,magnetohydrodynamic mhd simulations,magnetohydrodynamic mhd simulation(s)
metal nanoparticle,metal nanoparticles,metal nanoparticle(s)
facial attribute,facial attributes,facial attribute(s)
general guideline,general guidelines,general guideline(s)
entangled photon pair,entangled photon pairs,entangled photon pair(s)
monotone map,monotone maps,monotone map(s)
local government,local governments,local government(s)
portfolio optimization problem,portfolio optimization problems,portfolio optimization problem(s)
nitrogen vacancy,nitrogen vacancies,nitrogen vacancy(ies)
effective reproduction number,effective reproduction numbers,effective reproduction number(s)
target domain shift,target domain shifts,target domain shift(s)
sign reversal,sign reversals,sign reversal(s)
traveling front,traveling fronts,traveling front(s)
semidefinite program,semidefinite programs,semidefinite program(s)
lower dimensional subspace,lower dimensional subspaces,lower dimensional subspace(s)
output port,output ports,output port(s)
color code,color codes,color code(s)
crystalline insulator,crystalline insulators,crystalline insulator(s)
multi objective evolutionary algorithm,multi objective evolutionary algorithms,multi objective evolutionary algorithm(s)
approximate posterior distribution,approximate posterior distributions,approximate posterior distribution(s)
metallic ferromagnet,metallic ferromagnets,metallic ferromagnet(s)
flag manifold,flag manifolds,flag manifold(s)
nucleic acid,nucleic acids,nucleic acid(s)
diffraction pattern,diffraction patterns,diffraction pattern(s)
guiding principle,guiding principles,guiding principle(s)
cubic nonlinearity,cubic nonlinearities,cubic nonlinearity(ies)
utility trade off,utility trade offs,utility trade off(s)
compact expression,compact expressions,compact expression(s)
bright exciton,bright excitons,bright exciton(s)
spectral energy density,spectral energy densities,spectral energy density(ies)
open book,open books,open book(s)
photoionization model,photoionization models,photoionization model(s)
strong gravitational lens,strong gravitational lenses,strong gravitational lens(es)
element abundance,element abundances,element abundance(s)
vibrational excitation,vibrational excitations,vibrational excitation(s)
opening angle,opening angles,opening angle(s)
electronic instability,electronic instabilities,electronic instability(ies)
decision tree ensemble,decision tree ensembles,decision tree ensemble(s)
longer lifetime,longer lifetimes,longer lifetime(s)
leibniz rule,leibniz rules,leibniz rule(s)
inherent difficulty,inherent difficulties,inherent difficulty(ies)
superconformal index,superconformal indices,superconformal index (indices)
squared difference,squared differences,squared difference(s)
picard group,picard groups,picard group(s)
huge volume,huge volumes,huge volume(s)
continued fraction expansion,continued fraction expansions,continued fraction expansion(s)
traffic situation,traffic situations,traffic situation(s)
beta ensemble,beta ensembles,beta ensemble(s)
fine tuning stage,fine tuning stages,fine tuning stage(s)
adaptively adjust,adaptively adjusts,adaptively adjust(s)
labor market,labor markets,labor market(s)
considerably reduce,considerably reduces,considerably reduce(s)
pair plasma,pair plasmas,pair plasma(s)
spin liquid phase transition,spin liquid phase transitions,spin liquid phase transition(s)
gr obner basis,gr obner bases,gr obner basis (bases)
updating rule,updating rules,updating rule(s)
display technology,display technologies,display technology(ies)
geometric distortion,geometric distortions,geometric distortion(s)
minimum cost function,minimum cost functions,minimum cost function(s)
jupyter notebook,jupyter notebooks,jupyter notebook(s)
molecular outflow,molecular outflows,molecular outflow(s)
outer approximation,outer approximations,outer approximation(s)
endomorphism ring,endomorphism rings,endomorphism ring(s)
radial distribution function,radial distribution functions,radial distribution function(s)
filter bank,filter banks,filter bank(s)
nucleation process,nucleation processes,nucleation process(es)
convection zone,convection zones,convection zone(s)
strong coupling constant,strong coupling constants,strong coupling constant(s)
merging galaxy cluster,merging galaxy clusters,merging galaxy cluster(s)
edge server,edge servers,edge server(s)
exponential tail,exponential tails,exponential tail(s)
closed field theory,closed field theories,closed field theory(ies)
magnitude diagram,magnitude diagrams,magnitude diagram(s)
hilbert transform,hilbert transforms,hilbert transform(s)
time invariant measure,time invariant measures,time invariant measure(s)
external electric current,external electric currents,external electric current(s)
historical data set,historical data sets,historical data set(s)
shock front,shock fronts,shock front(s)
reflecting surface,reflecting surfaces,reflecting surface(s)
deletion problem,deletion problems,deletion problem(s)
reheating temperature,reheating temperatures,reheating temperature(s)
coded caching scheme,coded caching schemes,coded caching scheme(s)
neural tts model,neural tts models,neural tts model(s)
packing fraction,packing fractions,packing fraction(s)
commutator subgroup,commutator subgroups,commutator subgroup(s)
automatically adjust,automatically adjusts,automatically adjust(s)
parity check,parity checks,parity check(s)
key feature space,key feature spaces,key feature space(s)
plausible explanation,plausible explanations,plausible explanation(s)
polynomial time step,polynomial time steps,polynomial time step(s)
explosion mechanism,explosion mechanisms,explosion mechanism(s)
eikonal equation,eikonal equations,eikonal equation(s)
informed neural network,informed neural networks,informed neural network(s)
